,Date,Time,,,,,,,,,,,
1,2/8/2021,9:15 PM,,,,,,,,,,,
2,2/8/2021,12:21 PM,,,,,,,,,,,
3,2/8/2021,11:38 AM,,,,,,,,,,,
4,2/8/2021,11:35 AM,,,,,,,,,,,
5,2/8/2021,11:33 AM,,,,,,,,,,,
6,2/8/2021,9:00 AM,,,,,,,,,,,
7,2/8/2021,8:41 AM,,,,,,,,,,,
8,2/7/2021,7:42 PM,,,,,,,,,,,
9,2/7/2021,7:19 PM,,,,,,,,,,,
10,2/7/2021,6:06 PM,,,,,,,,,,,
11,2/7/2021,4:22 PM,,,,,,,,,,,
12,2/7/2021,10:47 AM,,,,,,,,,,,
13,2/7/2021,3:00 AM,,,,,,,,,,,
14,2/6/2021,12:25 AM,,,,,,,,,,,
15,2/6/2021,12:10 AM,,,,,,,,,,,
16,2/6/2021,3:08 PM,,,,,,,,,,,
17,2/6/2021,2:32 PM,,,,,,,,,,,
18,2/6/2021,8:30 PM,,,,,,,,,,,
19,2/5/2021,7:09 PM,,,,,,,,,,,
20,2/5/2021,3:59 PM,,,,,,,,,,,
21,2/5/2021,11:48 PM,,,,,,,,,,,
22,2/5/2021,10:48 AM,,,,,,,,,,,
23,2/5/2021,10:30 AM,,,,,,,,,,,
24,2/5/2021,8:46 AM,,,,,,,,,,,
25,2/5/2021,8:09 AM,,,,,,,,,,,
26,2/5/2021,1:40 AM,,,,,,,,,,,
27,2/4/2021,2:39 PM,,,,,,,,,,,
28,2/4/2021,1:55 PM,,,,,,,,,,,
29,2/4/2021,1:54 PM,,,,,,,,,,,
30,2/4/2021,1:20 PM,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Would be interesting to see how all these bitcoin tweets on Dec 20 affected Doge price,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
